TerminalID,LocationAddress,Latitude,Longitude,RatePackageID,RatePackageDescription,FullRate,POS,NumberOfSpaces,CLZTerminal,Availability,unavailable,objectID
408605,11239 S MICHIGAN AVE,41.6896742,-87.6209831,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,6,0,3,FALSE,11547434000
408604,11244 S MICHIGAN AVE,41.6894419,-87.6210167,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,8,0,3,FALSE,11547433000
397302,1126 N MILWAUKEE AVE,41.9022391,-87.6647367,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,11,0,3,FALSE,11547860000
219407,1126 N STATE ST,41.9027786,-87.6285114,986000007,"$4.75, Mon-Sun 9 AM-11:59 PM, 2 hr POS",4.75,2,9,0,1,FALSE,11546066000
924202,1127 W DIVERSEY PKWY,41.9325741,-87.656108,418012007,"$2.50, Mon-Sat 8 AM-10 PM, 3 hr POS, RH1: Mon-Fri 7 AM-9 AM",2.5,3,10,0,3,FALSE,11550281000
539304,1128 S HERMITAGE AVE,41.8676368,-87.6701675,484000007,"$2.50, Mon-Sat 12 AM-11:59 PM, 10 hr POS",2.5,10,11,0,3,FALSE,11549691000
538304,1128 S PAULINA ST,41.8680762,-87.6689498,451003007,"$2.50, Mon-Sat 12 AM-11:59 PM, 3 hr POS RH1: Mon-Sun 12 AM-5 AM",2.5,3,8,0,1,FALSE,11549687000
438210,1128 W ARMITAGE AVE,41.9180695,-87.6564453,418000007,"$2.50, Mon-Sat 8 AM-10 PM, 3 hr POS",2.5,3,6,0,2,FALSE,11547297000
219413,1129 N STATE ST,41.9028355,-87.628492,986000007,"$4.75, Mon-Sun 9 AM-11:59 PM, 2 hr POS",4.75,2,5,0,1,FALSE,11546070000
751313,113 N May St,41.8837,-87.65526,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,8,0,3,FALSE,11549422000
358309,113 S SANGAMON ST,41.8799686,-87.6507919,430000007,"$4.75, Mon-Sat 8 AM-10 PM, 3 hr POS",4.75,3,9,0,3,FALSE,11546838000
237404,113 W ERIE ST,41.8940142,-87.632117,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,10,0,3,FALSE,11546530000
248403,1130 N DEARBORN ST,41.9024347,-87.6299592,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,5,0,1,FALSE,11547456000
409601,11314 S MICHIGAN AVE,41.6884825,-87.621008,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,11,0,3,FALSE,11547442000
409608,11315 S MICHIGAN AVE,41.6884764,-87.6209738,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,11,0,3,FALSE,11547449000
529407,1133 S CANAL ST,41.8686065,-87.6392349,431000007,"$4.75, Mon-Sun 8 AM-10 PM, 3 hr POS",4.75,3,8,0,2,FALSE,11548735000
330414,1133 S Wabash Ave,41.86861,-87.6254,431012007,"$4.75, Mon-Sun 8 AM-10 PM, 3 hr POS, RH1: Mon-Fri 7 AM-9 AM",4.75,3,8,0,2,FALSE,11549471000
546436,1134 N Orleans St,41.9031368,-87.6374857,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,4,0,3,FALSE,11549378000
